"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 02 16:56:56 GMT 2021","Tue Mar 02 16:56:56 GMT 2021","4","","Product Service","","com.luiz.domain.model.ProductServiceTest","receiveProductsFromCSVUsingAggregator","[7] 7, MICHAEL JACKSON’S THRILLER, 20.99",""
"passed","Tue Mar 02 16:56:57 GMT 2021","Tue Mar 02 16:56:57 GMT 2021","1","","Category Enum","","com.luiz.domain.model.CategoryTest","getDescription","[8] TOYS",""
"passed","Tue Mar 02 16:56:56 GMT 2021","Tue Mar 02 16:56:56 GMT 2021","0","","Product Service","","com.luiz.domain.model.ProductServiceTest","receiveProductsFromCSVUsingAggregator","[10] 10, RUBIK’S CUBE, 30.1",""
"passed","Tue Mar 02 16:56:56 GMT 2021","Tue Mar 02 16:56:56 GMT 2021","2","","Product Service","","com.luiz.domain.model.ProductServiceTest","receiveProductsFromCSVUsingAggregator","[9] 9, IPHONE, 300.2",""
"passed","Tue Mar 02 16:56:56 GMT 2021","Tue Mar 02 16:56:56 GMT 2021","0","","Product Service","","com.luiz.domain.model.ProductServiceTest","receiveProductsFromCSV","[1] 1, PLAYSTATION 1, 100.19",""
"passed","Tue Mar 02 16:57:00 GMT 2021","Tue Mar 02 16:57:00 GMT 2021","142","","Product Controller","","com.luiz.actions.client.ProductControllerShould","sayHello","Default",""
"passed","Tue Mar 02 16:56:56 GMT 2021","Tue Mar 02 16:56:56 GMT 2021","3","","Product Service","","com.luiz.domain.model.ProductServiceTest","receiveProductsFromCSV","[5] 5, IPAD, 100",""
"passed","Tue Mar 02 16:56:57 GMT 2021","Tue Mar 02 16:56:57 GMT 2021","0","","Category Enum","","com.luiz.domain.model.CategoryTest","getDescription","[5] HOME_AND_GARDEN",""
"passed","Tue Mar 02 16:56:56 GMT 2021","Tue Mar 02 16:56:56 GMT 2021","21","","Product Service","","com.luiz.domain.model.ProductServiceTest","receiveProductsFromCSVUsingAggregator","[1] 1, PLAYSTATION 1, 100.19",""
"passed","Tue Mar 02 16:56:56 GMT 2021","Tue Mar 02 16:56:56 GMT 2021","1","","Product Service","","com.luiz.domain.model.ProductServiceTest","receiveProductsFromCSVUsingAggregator","[8] 8, HARRY POTTER, 15.0",""
"passed","Tue Mar 02 16:56:56 GMT 2021","Tue Mar 02 16:56:56 GMT 2021","1","","Product Service","","com.luiz.domain.model.ProductServiceTest","receiveProductsFromCSV","[2] 2, LIPITOR, 30.2",""
"passed","Tue Mar 02 16:56:57 GMT 2021","Tue Mar 02 16:56:57 GMT 2021","2","","Category Enum","","com.luiz.domain.model.CategoryTest","getDescription","[9] OTHERS",""
"passed","Tue Mar 02 16:56:56 GMT 2021","Tue Mar 02 16:56:56 GMT 2021","2","","Product Service","","com.luiz.domain.model.ProductServiceTest","receiveProductsFromCSVUsingAggregator","[4] 4, STAR WARS, 10",""
"passed","Tue Mar 02 16:56:56 GMT 2021","Tue Mar 02 16:56:56 GMT 2021","1","","Product Service","","com.luiz.domain.model.ProductServiceTest","receiveProductsFromCSV","[7] 7, MICHAEL JACKSON’S THRILLER, 20.99",""
"passed","Tue Mar 02 16:56:56 GMT 2021","Tue Mar 02 16:56:56 GMT 2021","1","","Product Service","","com.luiz.domain.model.ProductServiceTest","receiveProductsFromCSV","[9] 9, IPHONE, 300.2",""
"passed","Tue Mar 02 16:56:57 GMT 2021","Tue Mar 02 16:56:57 GMT 2021","1","","Category Enum","","com.luiz.domain.model.CategoryTest","getDescription","[4] ENTERTAINMENT",""
"passed","Tue Mar 02 16:56:57 GMT 2021","Tue Mar 02 16:56:57 GMT 2021","1","","Category Enum","","com.luiz.domain.model.CategoryTest","getDescription","[7] SPORTING",""
"passed","Tue Mar 02 16:56:56 GMT 2021","Tue Mar 02 16:56:56 GMT 2021","0","","Product Service","","com.luiz.domain.model.ProductServiceTest","receiveProductsFromCSV","[4] 4, STAR WARS, 10",""
"passed","Tue Mar 02 16:56:56 GMT 2021","Tue Mar 02 16:56:56 GMT 2021","1","","Product Service","","com.luiz.domain.model.ProductServiceTest","receiveProductsFromCSVUsingAggregator","[3] 3, COROLLA, 20001",""
"passed","Tue Mar 02 16:56:56 GMT 2021","Tue Mar 02 16:56:56 GMT 2021","4","","Product Service","","com.luiz.domain.model.ProductServiceTest","receiveProductsFromCSVUsingAggregator","[2] 2, LIPITOR, 30.2",""
"passed","Tue Mar 02 16:56:56 GMT 2021","Tue Mar 02 16:56:56 GMT 2021","4","","Product Service","","com.luiz.domain.model.ProductServiceTest","receiveProductsFromCSVUsingAggregator","[6] 6, MARIO BROS. FRANCHISE, 250",""
"passed","Tue Mar 02 16:56:56 GMT 2021","Tue Mar 02 16:56:56 GMT 2021","26","","Product Service","","com.luiz.domain.model.ProductServiceTest","findAll","Find all products using service",""
"passed","Tue Mar 02 16:57:00 GMT 2021","Tue Mar 02 16:57:01 GMT 2021","16","","Product Controller","","com.luiz.actions.client.ProductControllerShould","findAll","Fill all products",""
"passed","Tue Mar 02 16:56:56 GMT 2021","Tue Mar 02 16:56:56 GMT 2021","3","","Product Service","","com.luiz.domain.model.ProductServiceTest","receiveProductsFromCSVUsingAggregator","[5] 5, IPAD, 100",""
"passed","Tue Mar 02 16:56:56 GMT 2021","Tue Mar 02 16:56:56 GMT 2021","1","","Product Service","","com.luiz.domain.model.ProductServiceTest","receiveProductsFromCSV","[10] 10, RUBIK’S CUBE, 30.1",""
"passed","Tue Mar 02 16:56:57 GMT 2021","Tue Mar 02 16:56:57 GMT 2021","2","","FindAllProductsQueryAdapterTest - Another way to inject mock","","com.luiz.actions.products.FindAllProductsQueryAdapterTest","onlyForJava8","onlyForJava8()",""
"skipped","Tue Mar 02 16:56:57 GMT 2021","Tue Mar 02 16:56:57 GMT 2021","0","","FindAllProductsQueryAdapterTest - Another way to inject mock","","com.luiz.actions.products.FindAllProductsQueryAdapterTest","onlyForJava9And10","onlyForJava9And10()",""
"passed","Tue Mar 02 16:56:56 GMT 2021","Tue Mar 02 16:56:56 GMT 2021","8","","Product Service","","com.luiz.domain.model.ProductServiceTest","add","Add new product using service",""
"passed","Tue Mar 02 16:56:56 GMT 2021","Tue Mar 02 16:56:56 GMT 2021","0","","Product Service","","com.luiz.domain.model.ProductServiceTest","receiveProductsFromCSV","[3] 3, COROLLA, 20001",""
"passed","Tue Mar 02 16:56:57 GMT 2021","Tue Mar 02 16:56:57 GMT 2021","0","","Category Enum","","com.luiz.domain.model.CategoryTest","getDescription","[6] MOTORS",""
"passed","Tue Mar 02 16:56:57 GMT 2021","Tue Mar 02 16:56:57 GMT 2021","1","","Category Enum","","com.luiz.domain.model.CategoryTest","getDescription","[2] FASHION",""
"passed","Tue Mar 02 16:56:57 GMT 2021","Tue Mar 02 16:56:57 GMT 2021","0","","Category Enum","","com.luiz.domain.model.CategoryTest","getDescription","[3] ELECTRONICS",""
"passed","Tue Mar 02 16:56:56 GMT 2021","Tue Mar 02 16:56:56 GMT 2021","1","","Product Service","","com.luiz.domain.model.ProductServiceTest","receiveProductsFromCSV","[6] 6, MARIO BROS. FRANCHISE, 250",""
"passed","Tue Mar 02 16:56:57 GMT 2021","Tue Mar 02 16:56:57 GMT 2021","54","","com.luiz.actions.products.AddProductCommandAdapterShould","","com.luiz.actions.products.AddProductCommandAdapterShould","execute","Product Adapter communicates with Service",""
"passed","Tue Mar 02 16:56:57 GMT 2021","Tue Mar 02 16:56:57 GMT 2021","38","","FindAllProductsQueryAdapterTest - Another way to inject mock","","com.luiz.actions.products.FindAllProductsQueryAdapterTest","execute","Product Query Adapter communicates with Service",""
"passed","Tue Mar 02 16:56:57 GMT 2021","Tue Mar 02 16:56:57 GMT 2021","10","","Client by Command Line Interface","","com.luiz.actions.client.ProductCLITest","add","Add new product by CLI",""
"passed","Tue Mar 02 16:56:56 GMT 2021","Tue Mar 02 16:56:56 GMT 2021","13","","Category Enum","","com.luiz.domain.model.CategoryTest","getDescription","[1] ART",""
"passed","Tue Mar 02 16:56:57 GMT 2021","Tue Mar 02 16:56:57 GMT 2021","37","","Client by Command Line Interface","","com.luiz.actions.client.ProductCLITest","findAll","Find all products",""
"passed","Tue Mar 02 16:56:56 GMT 2021","Tue Mar 02 16:56:56 GMT 2021","0","","Product Service","","com.luiz.domain.model.ProductServiceTest","receiveProductsFromCSV","[8] 8, HARRY POTTER, 15.0",""
"passed","Tue Mar 02 16:57:01 GMT 2021","Tue Mar 02 16:57:01 GMT 2021","100","","Product Controller","","com.luiz.actions.client.ProductControllerShould","addNewProduct","Add new product",""
